,,ZipCode,% of Total,Unique Values
Larceny Theft,Property Crime,15213,0.51,539
Other assaults,Part II,15213,0.08,85
Fraud,Part II,15213,0.08,80
Vandalism,Part II,15213,0.06,65
All Other Offenses,Part II,15213,0.05,51
Disorderly Conduct,Part II,15213,0.04,40
Burglary,Property Crime,15213,0.03,36
Drunkenness,Part II,15213,0.03,27
Robbery,Violent Crime,15213,0.03,27
Drug Abuse Violations,Part II,15213,0.02,19
Driving Under the Influence,Part II,15213,0.02,18
Forgery and Counterfeiting,Part II,15213,0.02,18
Motor Vehicle Theft,Property Crime,15213,0.02,18
Liquor Laws,Part II,15213,0.01,11
Sex Offenses (Except Forcible Rape and Prostitution),Part II,15213,0.01,7
Assault,Violent Crime,15213,0.01,6
"Stolen Property: Buying, Receiving, Possessing",Part II,15213,0,5
Embezzlement,Part II,15213,0,4
Offenses Against the Family and Children,Part II,15213,0,2
Rape,Violent Crime,15213,0,1
"Weapons: Carrying, Possessing, Etc",Part II,15213,0,1
